R,G,B,Depth,NDVI
71.43774414,82.45483398,82.84936523,1.084867971,0.276173544
57.93847656,84.27246094,97.10791016,0.999924608,0.596601171
54.40087891,89.14477539,124.3083496,1.026151416,0.586826106
67.73266602,84.69091797,86.44873047,1.032004932,0.358792951
108.5119629,118.1696777,117.3391113,0.927379194,0.538406119
66.73266602,87.10961914,88.10424805,1.001581591,0.593199845
68.93188477,79.85913086,77.76342773,1.07763677,0.273160147
54.92993164,85.09228516,109.6608887,1.010877734,0.60219712
52.73901367,86.74267578,115.4399414,1.015058398,0.584833522
54.1315918,68.1652832,60.81616211,1.38044489,0.683633025
69.55932617,85.39819336,76.09448242,1.342544009,0.704581745
55.23510742,80.91479492,70.46606445,1.459699288,0.54911526
39.16259766,57.13623047,50.35351563,1.452709053,0.6743822
42.91113281,59.87890625,53.68164063,1.395107244,0.724235243
48.04858398,69.83276367,60.16772461,1.418655585,0.670983021
57.1418457,72.38256836,63.54321289,1.362937321,0.669445911
63.77197266,80.55761719,70.44970703,1.365619938,0.704902229
51.29003906,78.98095703,67.94921875,1.480798898,0.701021417
38.24487305,57.16259766,50.33886719,1.458404366,0.715849481
42.08984375,60.14306641,53.06152344,1.474563547,0.759959189
48.6315918,69.77026367,59.3918457,1.477661935,0.738094476
31.31152344,57.59545898,51.06323242,1.381109196,0.683141736
22.77880859,51.16186523,45.22094727,1.296488587,0.679626094
36.67407227,66.8034668,60.48168945,1.212316708,0.523802581
31.78881836,62.27099609,59.14453125,1.32061725,0.682194886
30.37817383,74.37670898,78.10327148,1.277818664,0.724600328
38.67553711,59.90014648,53.27856445,1.329054995,0.665440481
32.63500977,59.18115234,53.00244141,1.379897771,0.609877859
21.91894531,50.46191406,44.41503906,1.305989076,0.64064075
38.79711914,69.48876953,63.44970703,1.25042169,0.605511762
31.5637207,62.45727539,60.09985352,1.334903384,0.674299732
30.05737305,72.5690918,76.20141602,1.29562555,0.723637641
38.15625,58.68798828,52.02392578,1.346570132,0.677297109
86.65649414,98.72680664,93.69506836,1.062455617,0.608744472
62.73632813,81.47070313,77.36328125,1.159169733,0.642845056
60.26489258,75.24926758,80.51782227,1.143165582,0.645947253
57.45922852,71.84155273,75.92260742,1.106742484,0.709935472
78.1081543,93.39477539,88.62426758,1.095897513,0.635807734
48.19848633,66.95922852,62.29467773,1.148114312,0.617727307
50.30493164,67.59106445,78.67114258,1.166226862,0.579180627
54.21655273,67.74975586,63.27661133,1.110943168,0.629705843
72.19995117,89.86425781,87.93066406,1.764311851,0.61735289
60.38037109,78.46923828,76.75537109,1.70360262,0.646810069
72.33764648,89.32617188,85.71728516,1.696310872,0.612151828
30.71728516,55.40039063,51.06933594,1.696839192,0.566366819
19.71289063,50.77783203,54.1875,1.682117756,0.621194034
20.83154297,43.39892578,38.29003906,1.662571856,0.670383747
75.2121582,92.59082031,90.52441406,1.758115074,0.617098983
54.59594727,74.47924805,72.36206055,1.703519124,0.583855316
71.5925293,88.95043945,85.47338867,1.69471883,0.5305943
29.83520508,54.78100586,50.92797852,1.699654622,0.619847896
20.04736328,52.06176758,54.75952148,1.663069415,0.681256953
19.75854492,42.52148438,38.22265625,1.667903888,0.652658852
80.93383789,92.08081055,90.06079102,1.295387757,0.627259629
98.83349609,101.3657227,97.66455078,1.308511293,0.523564791
79.00878906,87.65625,82.16186523,1.655743487,0.547218752
42.83422852,57.93139648,61.27075195,1.303201478,0.634539714
64.52783203,72.40429688,70.62646484,1.329209048,0.68197686
54.64624023,72.62963867,67.40698242,1.419954657,0.629851315
70.99731445,84.51049805,80.52172852,1.293527893,0.32105547
98.89453125,102.4980469,98.83251953,1.280358948,0.456291087
72.67456055,81.65014648,75.47143555,1.60289949,0.283073195
42.32397461,65.26586914,77.64282227,1.313997377,0.498174976
60.16845703,68.15576172,66.14355469,1.305254701,0.54621857
51.39672852,69.93286133,65.80053711,1.434096504,0.38481881
93.40356445,103.9187012,99.87817383,1.251611876,0.336534066
99.73120117,111.6564941,106.5844727,1.117678276,0.459895787
92.63354492,100.0874023,93.49951172,1.32952521,0.294321552
60.19165039,77.2980957,73.38793945,1.438951973,0.480370713
59.05102539,73.17456055,68.24145508,1.391834539,0.524521104
54.52294922,65.06396484,58.88134766,1.38434699,0.375852434
80.63574219,96.01342773,91.76782227,1.167267878,0.601743358
99.08032227,108.2980957,104.1135254,1.184945125,0.654035313
92.39868164,105.8239746,101.2590332,1.069265676,0.567579121
66.98925781,81.27636719,76.49511719,1.213478573,0.627937623
58.91040039,77.5378418,72.58618164,1.451429024,0.664901973
56.44677734,69.90917969,65.24658203,1.492596995,0.623283513
49.36523438,86.64379883,80.16577148,1.095699027,0.610707639
58.35400391,97.19824219,92.99389648,0.840635294,0.681154673
51.31713867,86.22558594,82.88452148,1.177398005,0.606519726
24.56665039,56.85522461,49.75488281,1.458129952,0.656345008
41.80126953,83.56396484,80.74511719,0.67428885,0.690567844
26.51977539,80.06762695,92.99194336,1.167688532,0.620695888
40.39111328,78.70458984,71.70532227,1.264369689,0.58488546
56.81176758,96.22045898,90.62817383,0.685678011,0.64345563
44.66162109,81.86254883,77.77490234,1.167999079,0.584662449
27.53833008,57.64404297,50.58349609,1.371848454,0.635671231
39.10009766,75.1105957,69.78540039,0.702247348,0.692554787
25.29394531,88.33691406,108.3369141,1.153323785,0.669712511
60.38525391,76.90380859,72.13232422,1.134276665,0.441789067
120.2480469,129.182373,128.1430664,0.8017537,0.600996812
121.4980469,135.8125,131.5771484,1.05166338,0.387819593
55.41723633,64.99194336,72.43823242,1.019618457,0.51443949
67.33691406,86.93408203,82.77441406,1.063624074,0.639039933
62.05688477,83.30688477,75.22583008,1.251751768,0.49265903
42.21704102,63.33276367,57.7253418,1.141065972,0.440152116
88.95263672,112.4838867,108.8417969,0.974476121,0.602944985
89.63842773,117.5922852,110.6237793,1.198633846,0.393722751
40.21728516,56.95898438,65.33300781,1.140367974,0.514723962
48.21362305,75.03881836,76.90893555,1.188333308,0.640018496
